id	f_lu_mean	f_lu_std	f_lu_min	f_lu_max	f_mg_mean	f_mg_std	f_mg_min	f_mg_max	f_i_mean	f_i_std	f_i_min	f_i_max
101	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0
301	0	0	0	0	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0	0	0	0	0
501	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	0	0	0	0	0	0	0	0
202	0	0	0	0	0	0	0	0	0	0	0	0
302	0	0	0	0	0	0	0	0	0	0	0	0
402	0	0	0	0	0	0	0	0	0	0	0	0
502	0	0	0	0	0	0	0	0	0	0	0	0
103	1	0	1	1	1	0	1	1	1	0	1	1
203	1	0	1	1	1	0	1	1	1	0	1	1
303	1	0	1	1	1	0	1	1	1	0	1	1
403	1	0	1	1	1	0	1	1	1	0	1	1
503	1	0	1	1	1	0	1	1	1	0	1	1
104	1	0	1	1	0.95	0.06	0.83	1.07	1	0	1	1
204	1	0	1	1	0.97	0.05	0.86	1.08	1	0	1	1
304	1	0	1	1	0.97	0.05	0.86	1.08	1	0	1	1
404	1	0	1	1	0.97	0.05	0.86	1.08	1	0	1	1
504	1	0	1	1	0.96	0.19	0.58	1.34	1	0	1	1
105	1	0	1	1	1	0	1	1	1	0	1	1
205	1	0	1	1	1	0	1	1	1	0	1	1
305	1	0	1	1	1	0	1	1	1	0	1	1
405	1	0	1	1	1	0	1	1	1	0	1	1
505	1	0	1	1	1	0	1	1	1	0	1	1
106	0.69	0.04	0.61	0.77	1	0	1	1	0.92	0.06	0.79	1.05
206	0.58	0.18	0.23	0.93	1	0	1	1	0.95	0.06	0.83	1.07
306	0.48	0.11	0.26	0.70	1	0	1	1	0.92	0.06	0.79	1.05
406	0.48	0.11	0.26	0.70	1	0	1	1	0.92	0.06	0.79	1.05
506	0.64	0.16	0.32	0.96	1	0	1	1	0.94	0.24	0.47	1.41
107	1	0	1	1	1	0	1	1	1	0	1	1
207	1	0	1	1	1	0	1	1	1	0	1	1
307	1	0	1	1	1	0	1	1	1	0	1	1
407	1	0	1	1	1	0	1	1	1	0	1	1
507	1	0	1	1	1	0.00	1.00	1.00	1	0	1	1
108	0.69	0.04	0.61	0.77	1.08	0.03	1.03	1.13	1.11	0.06	1.00	1.22
208	0.58	0.18	0.23	0.93	1.09	0.05	0.99	1.19	1.04	0.07	0.90	1.18
308	0.48	0.11	0.26	0.70	1.15	0.05	1.06	1.24	1.11	0.06	1.00	1.22
408	0.48	0.11	0.26	0.70	1.15	0.05	1.06	1.24	1.11	0.06	1.00	1.22
508	0.24	0.12	0.24	0.72	1.09	0.27	0.55	1.64	1.08	0.27	0.54	1.62
109	1	0	1	1	1.14	0.06	1.01	1.27	1	0	1	1
209	1	0	1	1	1.17	0.05	1.06	1.28	1	0	1	1
309	1	0	1	1	1.17	0.05	1.06	1.28	1	0	1	1
409	1	0	1	1	1.17	0.05	1.06	1.28	1	0	1	1
509	1	0	1	1	1.16	0.23	0.70	1.62	1	0	1	1
110	0	0	0	0	0	0	0	0	0	0	0	0
210	0	0	0	0	0	0	0	0	0	0	0	0
310	0	0	0	0	0	0	0	0	0	0	0	0
410	0	0	0	0	0	0	0	0	0	0	0	0
510	0	0	0	0	0	0	0	0	0	0	0	0
111	0.82	0.07	0.68	0.96	1.15	0.02	1.10	1.20	0.92	0.06	0.79	1.05
211	0.93	0.05	0.83	1.03	1.17	0.05	1.08	1.26	0.95	0.06	0.83	1.07
311	0.82	0.07	0.68	0.96	1.22	0.04	1.13	1.31	0.92	0.06	0.79	1.05
411	0.82	0.07	0.68	0.96	1.22	0.04	1.13	1.31	0.92	0.06	0.79	1.05
511	0.88	0.22	0.44	1.32	1.16	0.29	0.58	1.74	0.94	0.24	0.47	1.41
