id	agb_mean	agb_std	agb_min	agb_max	r2s_mean	r2s_std	r2s_min	r2s_max	cf_mean	cf_std	cf_min	cf_max	bcs_mean	bcs_std	bcs_min	bcs_max
101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
301	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
401	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
102	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
302	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
402	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
502	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.00	0.00	0.00	0.00
103	245.00	17.50	210.00	280.00	0.28	0.03	0.22	0.33	0.465	0.013	0.440	0.490	0.00	0.00	0.00	0.00
203	305.00	52.50	200.00	410.00	0.28	0.00	0.27	0.28	0.465	0.013	0.440	0.490	0.00	0.00	0.00	0.00
303	245.00	17.50	210.00	280.00	0.28	0.03	0.22	0.33	0.465	0.013	0.440	0.490	0.00	0.00	0.00	0.00
403	260.00	70.00	120.00	400.00	0.37	0.00	0.37	0.37	0.465	0.013	0.440	0.490	0.00	0.00	0.00	0.00
503	145.00	42.50	60.00	230.00	0.28	0.00	0.27	0.28	0.465	0.013	0.440	0.490	0.00	0.00	0.00	0.00
