;3;6;9;12;15;18
d_BCmean;-4876.0;-9804.0;-8902.0;182.0;-4826.0;-2510.0
d_BCmedian;-4876.0;-9804.0;-8902.0;182.0;-4826.0;-2510.0
d_BCpercHigh;-4876.0;-9804.0;-8902.0;182.0;-4826.0;-2510.0
d_BCpercLow;-4876.0;-9804.0;-8902.0;182.0;-4826.0;-2510.0
d_BCstd;0.0;0.0;0.0;0.0;0.0;0.0
d_BCuncHigh;-0.0;-0.0;-0.0;0.0;-0.0;-0.0
d_BCuncLow;-0.0;-0.0;-0.0;0.0;-0.0;-0.0
d_BCvar;0.0;0.0;0.0;0.0;0.0;0.0
d_SOCmean;-26343.56;-24154.26;-13259.04;-5650.18;-25905.76;-12724.82
d_SOCmedian;-25462.0;-23124.5;-12743.5;-5370.5;-24633.0;-12353.0
d_SOCpercHigh;-3591.6;-4632.8;-1432.38;-293.95;-5361.8;-303.95
d_SOCpercLow;-53952.4;-49448.8;-27836.02;-12726.15;-53676.9;-26582.6
d_SOCstd;12666.77;11320.2;6592.45;3132.82;12315.27;6530.88
d_SOCuncHigh;-86.37;-80.82;-89.2;-94.8;-79.3;-97.61
d_SOCuncLow;-104.8;-104.72;-109.94;-125.23;-107.2;-108.9
d_SOCvar;160447024.0;128146920.0;43460456.0;9814541.0;151665952.0;42652416.0
d_TCmean;-31219.52;-33958.27;-22161.05;-5468.2;-30731.75;-15234.82
d_TCmedian;-30336.0;-32928.0;-21646.0;-5188.0;-29458.0;-14864.0
d_TCpercHigh;-8467.6;-14434.8;-10335.4;-112.0;-10187.8;-2812.0
d_TCpercLow;-58828.3;-59249.0;-36740.0;-12544.2;-58504.8;-29096.5
d_TCstd;12666.8;11320.23;6592.46;3132.82;12315.27;6530.88
d_TCuncHigh;-72.88;-57.49;-53.36;-97.95;-66.85;-81.54
d_TCuncLow;-88.43;-74.48;-65.79;-129.4;-90.37;-90.99
d_TCvar;160447712.0;128147544.0;43460508.0;9814550.0;151665856.0;42652328.0
