id	soc_r_mean	soc_r_std	soc_r_min	soc_r_max
11	34	15.3	3.4	64.6
12	31	13.95	3.1	58.9
13	39	17.55	3.9	74.1
14	66	29.7	6.6	125.4
15	34	15.3	3.4	64.6
103	86	38.7	8.6	163.4
104	86	38.7	8.6	163.4
1003	115	51.75	11.5	218.5
1004	115	51.75	11.5	218.5
1005	115	51.75	11.5	218.5
10001	88	39.6	8.8	167.2
10002	38	17.1	3.8	72.2
10003	65	29.25	6.5	123.5
10004	44	19.8	4.4	83.6
10005	88	39.6	8.8	167.2
100001	63	28.35	6.3	119.7
100002	35	15.75	3.5	66.5
100003	47	21.15	4.7	89.3
100004	60	27	6	114
100005	63	28.35	6.3	119.7
